id,選手名,年,所属,試合数,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
1,香月良太,2004,大阪近鉄,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2005,オリックス,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2006,オリックス,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2007,オリックス,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2008,オリックス,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2009,オリックス,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
1,香月良太,2010,オリックス,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2011,オリックス,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2012,オリックス,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2013,読売,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2014,読売,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
1,香月良太,2015,読売,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
2,澤村拓一,2011,読売,30,61,52,2,4,1,0,0,5,2,0,0,6,0,3,0,34,0,0.077,0.096,0.127
2,澤村拓一,2012,読売,27,54,48,0,4,1,0,0,5,3,0,0,5,0,1,0,26,0,0.083,0.104,0.102
2,澤村拓一,2013,読売,34,46,38,0,1,0,0,0,1,1,0,0,5,0,3,0,24,1,0.026,0.026,0.098
2,澤村拓一,2014,読売,12,24,18,1,2,1,0,0,3,1,0,0,5,0,1,0,10,0,0.111,0.167,0.158
2,澤村拓一,2015,読売,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
2,澤村拓一,2016,読売,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
3,大竹寛,2003,広島東洋,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
3,大竹寛,2004,広島東洋,43,11,10,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0.000,0.000,0.000
3,大竹寛,2005,広島東洋,29,50,45,2,7,1,0,0,8,3,0,0,4,0,1,0,24,1,0.156,0.178,0.174
3,大竹寛,2006,広島東洋,30,44,38,2,5,0,0,0,5,1,0,0,5,0,1,0,16,0,0.132,0.132,0.154
3,大竹寛,2007,広島東洋,28,45,40,3,6,2,0,0,8,0,0,0,5,0,0,0,15,0,0.150,0.200,0.150
3,大竹寛,2008,広島東洋,28,51,46,0,7,1,0,0,8,0,0,0,5,0,0,0,15,0,0.152,0.174,0.152
3,大竹寛,2009,広島東洋,29,64,61,3,6,0,0,0,6,3,0,0,2,0,1,0,27,0,0.098,0.098,0.113
3,大竹寛,2010,広島東洋,3,2,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0.000,0.000,1.000
3,大竹寛,2011,広島東洋,6,9,7,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0.286,0.286,0.286
3,大竹寛,2012,広島東洋,24,45,36,0,5,0,0,0,5,2,0,0,9,0,0,0,10,0,0.139,0.139,0.139
3,大竹寛,2013,広島東洋,25,49,45,2,2,0,0,0,2,3,0,0,3,0,1,0,16,0,0.044,0.044,0.065
3,大竹寛,2014,読売,22,49,40,2,7,1,1,0,10,6,0,0,7,0,2,0,17,1,0.175,0.250,0.214
3,大竹寛,2015,読売,11,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0.000,0.000,0.000
3,大竹寛,2016,読売,6,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0.000,0.000,0.000
4,杉内俊哉,2002,福岡ダイエー,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
4,杉内俊哉,2003,福岡ダイエー,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
4,杉内俊哉,2004,福岡ダイエー,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
4,杉内俊哉,2005,福岡ソフトバンク,26,10,10,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0.100,0.100,0.100
4,杉内俊哉,2006,福岡ソフトバンク,22,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000
4,杉内俊哉,2007,福岡ソフトバンク,28,6,6,0,1,1,0,0,2,0,0,0,0,0,0,0,4,0,0.167,0.333,0.167
4,杉内俊哉,2008,福岡ソフトバンク,25,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0.143,0.143,0.143
4,杉内俊哉,2009,福岡ソフトバンク,26,9,8,0,1,0,0,0,1,1,0,0,1,0,0,0,4,0,0.125,0.125,0.125
4,杉内俊哉,2010,福岡ソフトバンク,27,9,8,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0.125,0.125,0.125
4,杉内俊哉,2011,福岡ソフトバンク,23,6,5,1,1,1,0,0,2,3,0,0,1,0,0,0,2,0,0.200,0.400,0.200
4,杉内俊哉,2012,読売,24,51,44,0,2,0,0,0,2,0,0,0,3,0,4,0,23,1,0.045,0.045,0.125
4,杉内俊哉,2013,読売,24,50,44,2,6,1,0,0,7,3,0,0,3,1,2,0,23,0,0.136,0.159,0.170
4,杉内俊哉,2014,読売,26,53,48,1,4,0,0,0,4,2,0,0,5,0,0,0,18,0,0.083,0.083,0.083
4,杉内俊哉,2015,読売,17,28,26,1,3,0,0,0,3,2,0,0,2,0,0,0,9,0,0.115,0.115,0.115
5,菅野智之,2013,読売,27,56,48,2,4,1,0,0,5,4,0,0,6,0,2,0,20,0,0.083,0.104,0.120
5,菅野智之,2014,読売,23,55,42,2,7,0,0,0,7,4,0,0,11,0,2,0,14,0,0.167,0.167,0.205
5,菅野智之,2015,読売,25,60,53,0,4,1,1,0,7,2,0,0,6,0,0,1,21,0,0.075,0.132,0.093
5,菅野智之,2016,読売,16,40,35,3,9,0,0,0,9,1,0,0,4,0,1,0,13,0,0.257,0.257,0.278
6,マシソン,2012,読売,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
6,マシソン,2013,読売,63,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000
6,マシソン,2014,読売,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
6,マシソン,2015,読売,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
6,マシソン,2016,読売,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
7,桜井俊貴,2016,読売,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.000,0.000,0.000
8,内海哲也,2004,読売,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.000,0.000,0.000
8,内海哲也,2005,読売,26,28,27,1,3,0,0,0,3,0,0,0,1,0,0,0,17,0,0.111,0.111,0.111
8,内海哲也,2006,読売,31,63,56,2,12,1,0,0,13,5,0,0,7,0,0,0,29,1,0.214,0.232,0.214
8,内海哲也,2007,読売,28,63,54,3,3,0,0,0,3,2,0,0,5,0,3,1,35,0,0.056,0.056,0.121
8,内海哲也,2008,読売,29,61,60,1,5,0,0,0,5,1,0,0,1,0,0,0,30,0,0.083,0.083,0.083
8,内海哲也,2009,読売,27,54,50,2,5,0,0,0,5,1,0,0,2,0,2,0,24,0,0.100,0.100,0.135
8,内海哲也,2010,読売,27,54,45,2,6,1,0,0,7,4,0,0,8,0,1,0,20,0,0.133,0.156,0.152
8,内海哲也,2011,読売,29,59,56,1,7,0,0,0,7,1,0,0,2,0,1,0,24,0,0.125,0.125,0.140
8,内海哲也,2012,読売,28,63,52,4,4,0,0,0,4,4,0,0,7,0,4,0,23,1,0.077,0.077,0.143
8,内海哲也,2013,読売,25,47,40,1,2,0,0,0,2,0,0,0,5,0,2,0,21,0,0.050,0.050,0.095
8,内海哲也,2014,読売,22,48,39,3,5,0,0,0,5,1,0,0,7,0,2,0,18,0,0.128,0.128,0.171
8,内海哲也,2015,読売,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000
8,内海哲也,2016,読売,8,12,9,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0.000,0.000,0.100
9,高木京介,2012,読売,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
9,高木京介,2013,読売,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
9,高木京介,2014,読売,26,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
9,高木京介,2015,読売,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
11,宮國椋丞,2012,読売,17,35,29,1,1,0,0,0,1,2,0,0,5,0,1,0,17,0,0.034,0.034,0.067
11,宮國椋丞,2013,読売,17,31,29,0,3,0,1,0,5,2,0,0,2,0,0,0,14,1,0.103,0.172,0.103
11,宮國椋丞,2014,読売,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000
