市区町村,有効投票,無効票,投票総数,みんなの党,民主党,新党大地,社会民主党,生活の党,みどりの風,自由民主党,日本共産党,公明党,緑の党,日本維新の会,幸福実現党
千代田区,24459.00,504.00,24963.00,2996.00,1716.00,160.00,385.00,434.00,211.88,10253.83,2585.00,1260.00,339.02,2864.05,38.00
中央区,58068.00,1088.00,59156.00,8391.00,3717.00,361.00,700.00,1019.00,458.09,22143.42,6195.02,4077.82,678.00,7553.26,114.00
港区,92380.00,1826.00,94206.00,11417.00,6900.00,492.00,1223.00,1542.00,706.94,35132.55,9543.11,6508.71,1563.00,11654.27,381.00
新宿区,132144.00,3532.00,135676.00,13941.00,10521.00,644.00,2242.00,2134.00,1124.37,42607.93,19317.08,15478.86,2153.00,15560.08,372.00
文京区,98033.00,2153.00,100186.00,11750.00,8328.00,549.00,1821.00,1563.00,1128.00,32774.35,15965.53,6495.00,1506.84,10895.48,212.00
台東区,80318.00,2223.00,82541.00,9634.00,5873.00,516.00,1084.00,1466.00,590.50,28075.98,10572.75,7890.37,1058.85,9605.00,185.00
墨田区,107913.00,2874.00,110787.00,11930.00,6523.00,668.00,1352.00,1700.00,696.40,36020.16,13371.20,15551.71,1174.06,13847.72,231.00
江東区,209727.00,4942.00,214669.00,27842.00,11845.00,1021.00,2593.00,3165.00,1294.72,63939.49,27342.91,27067.66,2327.95,25828.79,480.00
品川区,161155.00,3421.00,164576.00,18606.00,12385.00,936.00,2380.00,2379.00,1214.50,53290.93,21683.64,17787.07,2353.60,19611.71,663.00
目黒区,117923.00,2679.00,120602.00,15437.00,9353.00,604.00,1970.00,1814.00,1423.11,39534.74,14221.47,10623.87,3622.96,13848.28,266.00
大田区,299347.00,7337.00,306684.00,32814.00,20878.00,1387.00,4325.00,4499.00,2579.61,97190.05,39926.67,41096.07,3486.17,36944.65,793.00
世田谷区,385826.00,10011.00,395837.00,50058.00,29783.00,2000.00,8361.00,6737.00,4684.58,124884.91,46270.25,33228.43,11940.97,44528.29,880.00
渋谷区,90164.00,2664.00,92828.00,10910.00,7040.00,503.00,1458.00,1506.00,897.81,29577.84,12117.57,6981.61,3396.98,10919.35,211.00
中野区,138790.00,3074.00,141864.00,14499.00,12150.00,767.00,2375.00,2287.00,1178.26,42477.17,21092.79,15322.52,3201.00,15934.66,281.00
杉並区,248792.00,5160.00,253952.00,29551.00,19842.00,1366.00,5239.00,4286.00,2840.42,78168.89,36011.69,18956.92,8449.92,28454.75,539.00
豊島区,112943.00,2652.00,115595.00,12782.00,8057.00,681.00,2045.00,2121.00,972.38,35943.98,16431.61,12935.22,1759.84,13417.50,323.00
北区,153837.00,4022.00,157859.00,15971.00,10012.00,768.00,2438.00,2804.00,947.87,44233.78,26324.36,24491.47,1501.82,16533.82,363.00
荒川区,83961.00,2258.00,86219.00,8740.00,5361.00,462.00,1113.00,1396.00,604.63,26990.06,12532.73,12479.14,874.82,9781.56,214.00
板橋区,228328.00,5269.00,233597.00,25712.00,15549.00,1259.00,3826.00,4186.00,1660.48,70339.54,34844.51,31645.34,2383.83,25374.56,565.65
練馬区,309659.00,6984.00,316643.00,34910.00,22957.00,1700.00,5850.00,5371.00,2751.40,98231.77,42358.43,35768.37,4971.01,34810.07,818.70
足立区,262276.00,6674.00,268950.00,24513.00,15727.00,1373.00,3299.00,4173.00,1223.89,83800.33,37646.59,47782.68,2097.29,29436.15,625.71
葛飾区,181474.00,4618.00,186092.00,18837.00,10793.00,986.00,2430.00,2826.00,966.48,61543.21,24909.51,28944.44,1492.48,19621.62,464.00
江戸川区,254032.00,6129.00,260161.00,28704.00,14884.00,1396.00,3048.00,3817.00,1636.97,83314.24,29899.94,42478.53,2186.07,29499.82,788.00
八王子市,236307.00,5550.00,241857.00,25100.00,19986.00,1061.00,4553.00,3610.00,1612.87,69517.41,31492.54,39748.53,2469.95,22790.46,622.74
立川市,74309.00,1523.00,75832.00,6864.00,7041.00,329.00,1263.00,1225.00,657.00,24013.79,10593.67,10303.61,874.83,7212.44,160.00
武蔵野市,65774.00,1550.00,67324.00,7410.00,8266.00,330.00,1487.00,1014.00,716.93,21153.58,8748.05,4267.17,1755.00,6480.26,119.00
