市区町村,当日有権者数,有効投票,無効投票,投票総数,社会民主党,国民怒りの声,おおさか維新の会,公明党,日本共産党,幸福実現党,自由民主党,新党改革,こころ,生活の党,民進党,支持政党なし
千代田区,48228 ,29296 ,762 ,30058 ,774.000 ,687.000 ,2372.158 ,1453.155 ,3254.000 ,72.000 ,12983.418 ,678.265 ,618.000 ,847.000 ,5085.000 ,472.000 
中央区,119662 ,68423 ,1940 ,70363 ,1451.000 ,1083.000 ,6589.141 ,4594.520 ,7799.000 ,189.000 ,28751.334 ,1027.060 ,1439.000 ,2319.000 ,11971.940 ,1209.000 
港区,195245 ,100037 ,2614 ,102651 ,2338.000 ,1787.755 ,8654.422 ,6982.924 ,11310.500 ,515.000 ,40424.543 ,1448.617 ,2095.000 ,4016.000 ,18859.233 ,1605.000 
新宿区,265455 ,143542 ,5343 ,148885 ,4478.909 ,2301.053 ,10212.163 ,15199.326 ,21578.208 ,514.000 ,49842.281 ,2521.123 ,2782.795 ,4846.000 ,27175.133 ,2091.000 
文京区,174214 ,109444 ,3063 ,112507 ,3550.875 ,2360.026 ,8709.383 ,7133.728 ,17357.670 ,321.000 ,39114.601 ,2250.711 ,2147.000 ,3212.000 ,21584.000 ,1703.000 
台東区,158327 ,87066 ,3557 ,90623 ,1943.035 ,1209.483 ,7249.501 ,8238.931 ,12062.103 ,310.000 ,32510.870 ,1886.602 ,1698.000 ,2914.000 ,15636.460 ,1407.000 
墨田区,219694 ,119775 ,4219 ,123994 ,2600.841 ,1611.982 ,10102.788 ,15330.234 ,16039.504 ,413.000 ,44300.035 ,2157.764 ,2030.000 ,3398.000 ,19844.837 ,1946.000 
江東区,406565 ,231848 ,8078 ,239926 ,5300.915 ,3455.126 ,19472.312 ,28018.039 ,32181.422 ,881.999 ,82947.254 ,3953.072 ,3763.003 ,6398.000 ,41786.835 ,3690.000 
品川区,320367 ,179251 ,5265 ,184516 ,4214.883 ,2886.161 ,14900.901 ,17684.296 ,25087.213 ,894.000 ,64701.027 ,3143.636 ,3025.934 ,5603.000 ,34074.933 ,3035.000 
目黒区,231487 ,127953 ,4242 ,132195 ,3411.000 ,2648.172 ,10632.076 ,9714.801 ,16646.003 ,458.000 ,45680.108 ,2137.978 ,2285.436 ,6226.000 ,25734.417 ,2379.000 
