"市区町村","有効投票","無効票","投票総数","みんなの党","民主党","新党大地","社会民主党","生活の党","みどりの風","自由民主党","日本共産党","公明党","緑の党","日本維新の会","幸福実現党","cut2","cut3","cut4","cut5"
"千代田区",24459,504,24963,2996,1716,160,385,434,211.88,10253.83,2585,1260,339.02,2864.05,38,1,1,1,1
"中央区",58068,1088,59156,8391,3717,361,700,1019,458.09,22143.42,6195.02,4077.82,678,7553.26,114,1,1,1,1
"港区",92380,1826,94206,11417,6900,492,1223,1542,706.94,35132.55,9543.11,6508.71,1563,11654.27,381,1,1,1,1
"新宿区",132144,3532,135676,13941,10521,644,2242,2134,1124.37,42607.93,19317.08,15478.86,2153,15560.08,372,1,1,2,2
"文京区",98033,2153,100186,11750,8328,549,1821,1563,1128,32774.35,15965.53,6495,1506.84,10895.48,212,1,1,2,2
"台東区",80318,2223,82541,9634,5873,516,1084,1466,590.5,28075.98,10572.75,7890.37,1058.85,9605,185,1,1,2,2
"墨田区",107913,2874,110787,11930,6523,668,1352,1700,696.4,36020.16,13371.2,15551.71,1174.06,13847.72,231,1,2,3,3
"江東区",209727,4942,214669,27842,11845,1021,2593,3165,1294.72,63939.49,27342.91,27067.66,2327.95,25828.79,480,1,2,3,3
"品川区",161155,3421,164576,18606,12385,936,2380,2379,1214.5,53290.93,21683.64,17787.07,2353.6,19611.71,663,1,1,2,2
"目黒区",117923,2679,120602,15437,9353,604,1970,1814,1423.11,39534.74,14221.47,10623.87,3622.96,13848.28,266,1,1,2,2
"大田区",299347,7337,306684,32814,20878,1387,4325,4499,2579.61,97190.05,39926.67,41096.07,3486.17,36944.65,793,1,2,3,3
"世田谷区",385826,10011,395837,50058,29783,2000,8361,6737,4684.58,124884.91,46270.25,33228.43,11940.97,44528.29,880,1,1,2,2
"渋谷区",90164,2664,92828,10910,7040,503,1458,1506,897.81,29577.84,12117.57,6981.61,3396.98,10919.35,211,1,1,2,2
"中野区",138790,3074,141864,14499,12150,767,2375,2287,1178.26,42477.17,21092.79,15322.52,3201,15934.66,281,1,1,2,2
"杉並区",248792,5160,253952,29551,19842,1366,5239,4286,2840.42,78168.89,36011.69,18956.92,8449.92,28454.75,539,1,1,2,2
"豊島区",112943,2652,115595,12782,8057,681,2045,2121,972.38,35943.98,16431.61,12935.22,1759.84,13417.5,323,1,1,2,2
"北区",153837,4022,157859,15971,10012,768,2438,2804,947.87,44233.78,26324.36,24491.47,1501.82,16533.82,363,1,2,3,3
"荒川区",83961,2258,86219,8740,5361,462,1113,1396,604.63,26990.06,12532.73,12479.14,874.82,9781.56,214,1,2,3,3
"板橋区",228328,5269,233597,25712,15549,1259,3826,4186,1660.48,70339.54,34844.51,31645.34,2383.83,25374.56,565.65,1,2,3,3
"練馬区",309659,6984,316643,34910,22957,1700,5850,5371,2751.4,98231.77,42358.43,35768.37,4971.01,34810.07,818.7,1,1,2,2
"足立区",262276,6674,268950,24513,15727,1373,3299,4173,1223.89,83800.33,37646.59,47782.68,2097.29,29436.15,625.71,1,2,3,3
"葛飾区",181474,4618,186092,18837,10793,986,2430,2826,966.48,61543.21,24909.51,28944.44,1492.48,19621.62,464,1,2,3,3
"江戸川区",254032,6129,260161,28704,14884,1396,3048,3817,1636.97,83314.24,29899.94,42478.53,2186.07,29499.82,788,1,2,3,3
