,"全国","北海道","青森","岩手","宮城","秋田","山形","福島","茨城","栃木","群馬","埼玉","千葉","東京","神奈川","新潟","富山","石川","福井","山梨","長野","岐阜","静岡","愛知","三重","滋賀","京都","大阪","兵庫","奈良","和歌山","鳥取","島根","岡山","広島","山口","徳島","香川","愛媛","高知","福岡","佐賀","長崎","熊本","大分","宮崎","鹿児島","沖縄"
"学校数",9689,606,160,167,204,118,102,227,228,163,169,427,388,636,415,241,85,91,75,86,191,189,265,425,161,102,170,470,346,104,127,63,100,162,242,156,87,69,132,109,351,94,177,169,131,139,220,150
"生徒数",1016451,40966,11298,11193,19844,8166,9832,17221,25184,17049,17744,58921,48775,75143,66117,19257,9363,10426,7150,7206,18550,18758,30037,65854,15908,12727,19732,70484,45815,10924,7957,4945,5886,16632,21984,11328,6308,8590,11824,4934,41982,7849,12183,15870,9645,9780,14437,14673
"国語1",93,93.2,91.8,93.2,93.8,94.9,92.6,92.6,93.2,93.2,93.7,93.3,93.4,94.4,92.9,93,93.7,94.3,94.2,92.7,93.4,94.6,94.2,93.1,92.1,91.5,93.5,91.9,93.3,92.9,91.6,92.8,93.3,91.6,93.3,93.9,91.4,92.6,92.8,90.9,92.3,91.1,93.1,91.6,92.8,91.6,91.6,89.7
"国語2",65,65.3,63.9,65.3,64.4,72.7,65,63.5,64.6,62.9,67.2,64.2,65.2,68.3,65.5,66,68.3,70.8,70.3,66.8,63.4,66.2,64.9,63.9,64.8,63.8,66.4,63.3,66.3,64.2,59.5,65.6,64.2,63.1,66.8,66.2,63.6,66.8,66.8,59.7,64.6,61,64,64.5,64.3,63.6,61.4,58.7
"国語3",79.8,79.4,78.5,79.3,80.7,84.3,77.9,77.5,82,79.2,80.6,79.1,79.9,82.6,79.9,79.8,83.3,85.3,83.7,79.7,78.4,82.8,81.3,78.3,77.8,77.8,80.6,77.7,79.9,79,77.7,80.6,79.2,77.7,82.4,81.3,80.2,81.3,80.8,77.8,79.4,77.3,80,79.2,80.5,77.8,75,75.7
"国語4",83.6,84.2,81.8,83.9,84.4,88.3,82.6,82.7,85.2,83.3,85.2,82.8,83.6,85.4,84.1,83.6,87.2,87.1,87.2,83.6,83.5,86.3,85.8,83.7,82.1,81.7,83.9,81.1,84.6,83.3,82.1,83.2,84.1,82.3,85.2,85.2,83,84.5,84.6,80,83.1,80.9,83.7,81.9,82.1,80.6,80.9,76
"国語5",58.3,62.5,58.5,58.8,56,58.5,57.8,55.4,60.8,57.5,59.3,56.6,58.3,61.1,57.7,57,60.7,59.6,63.3,56.4,53.8,57.7,57.6,58.5,60.4,57.3,59.5,59.8,61.9,62.4,56.4,56,54.7,55.4,57,59.1,55.6,60.8,60.9,53.9,55.3,54.7,58.2,57.1,59.5,54.8,51.7,50.8
"国語6",88.7,88.2,85.8,87.4,89.5,91.5,86.8,87.9,91.2,88.9,89.1,87.8,89.7,90.6,88.6,87,90,90.3,90.3,89,87.9,89.5,90.1,87.2,88.1,87,89.2,89.1,89.6,89.3,87.6,88.1,89.2,86.8,89.5,89.8,89.4,88,88.8,87.5,88.6,87.4,89.6,86.4,89.3,86.5,86,87
"国語7",89.8,89.3,87.5,90,90.7,93.4,89,89.7,91.9,90.1,90.4,88.5,90.6,91,89.9,88.3,91.3,91.2,92,89.8,89.4,90.9,91.8,89.2,89.6,88.6,90.2,89.7,90.4,90.1,89.5,89,90.6,88.4,90.3,90.6,89.2,88.6,90.3,88.4,89.7,88.9,90.4,88.1,90.8,87.7,87.3,86.5
"国語8",67.6,66.5,67.9,67.2,65.6,75.7,68.1,65.5,68.4,67.6,68.7,65.2,68.4,68.2,66.9,68.7,74.9,72.8,74.3,68.2,68.1,71.3,68.8,69.7,67.8,67,67,66.6,69.9,69,67.9,68.5,67.6,66.7,68.5,69.6,70.3,68.6,67.6,59,66.6,64.2,64.8,65.3,67.8,64.4,62.5,56.5
