,"全国","北海道","青森","岩手","宮城","秋田","山形","福島","茨城","栃木","群馬","埼玉","千葉","東京","神奈川","新潟","富山","石川","福井","山梨","長野","岐阜","静岡","愛知","三重","滋賀","京都","大阪","兵庫","奈良","和歌山","鳥取","島根","岡山","広島","山口","徳島","香川","愛媛","高知","福岡","佐賀","長崎","熊本","大分","宮崎","鹿児島","沖縄"
"学校数",20004,1076,304,341,393,213,261,453,526,380,323,816,810,1298,855,484,194,220,195,181,367,374,510,980,374,225,386,1006,765,202,242,133,209,397,487,296,178,165,285,193,745,164,344,362,276,239,510,267
"児童数",1061264,42068,10890,10799,19844,7669,9470,16434,25382,17409,17843,61669,52319,90409,74554,18763,9173,10271,7002,7133,18553,18743,32301,67353,15998,13434,20680,73011,48499,11612,8072,5014,5657,16722,24476,11540,6009,8542,12001,5663,43375,7666,12023,15700,9803,9944,14599,15173
"国語1",97.5,97.3,98.7,98,98.3,98.4,98.3,97.7,98.1,97.6,98.1,97.5,97.8,97.6,96.4,98.4,98.2,98.1,98.3,97.6,98.1,97.4,97.6,96.6,97.5,97.4,97.5,97.3,97.5,97.8,97.6,97.9,97.1,97.7,98.3,98.2,97.3,98.6,97.2,98,97.3,98.1,97.3,97.5,97.9,98,97.2,96.7
"国語2",96,96.3,97.6,96.5,95.3,97.8,96.6,96.5,96.2,95.5,96.1,95.9,95.1,96.3,95.3,96.1,97.3,98,98.7,96.3,97.1,96,95.9,94.3,96.1,95.1,96.4,95.7,96.2,96,96.6,96,94.8,95.8,96.8,96.5,96,94.5,95.7,96.1,96.8,96.7,95.3,96.4,96.9,96.6,97.3,95.3
"国語3",92.5,91.2,95.3,93.4,96.9,93.9,93.6,93.5,93.9,91.4,93.3,92,93.2,93.2,90.2,94.3,92.8,93.7,93.8,89.2,92,89.5,90.2,91.1,91.5,93.5,92.3,92.7,93.5,94.3,91.7,97.5,96,93,96,94.6,90.2,97.1,90.1,97.5,92.1,96,92.4,91.3,91.9,95,89.3,91.9
"国語4",58.4,57.2,69,72.5,58.3,67,62.8,66.5,61.6,59.4,66.1,54,56.2,58.6,52.2,71.6,63.6,65.7,69.1,55.3,59.7,52.8,60.9,48.1,57.7,58.4,61.6,56.2,59.3,61.4,59.2,57.6,56,62.3,62.8,67.8,56,68.9,54,72,58.4,63.9,54.6,58.5,58.3,62.9,58.7,59
"国語5",76.5,73.8,83.3,79.2,79.4,82.6,81.5,81.8,79.9,77.6,80.1,75.1,81.8,79.2,69.4,79.6,78.9,77.2,79.4,73.7,75.9,73.8,80.4,71.6,73.5,74.2,76.5,74,77.7,79,74.5,81.1,80.3,74.4,81.1,77.4,74.3,75.6,78.6,83,75.6,78.1,75.2,76.4,80.8,80.4,74.9,71.9
"国語6",74.9,69.3,82.4,74.6,80.1,82.5,78.2,76.9,78.6,73.9,77.5,72.7,76,76.4,66.2,77.5,80.4,78.7,76.2,67.4,69.3,72.8,75.5,70.3,71.2,76.2,77.5,74.3,78.6,77.7,74,84.3,79.8,76.6,81.9,79.3,71.8,84.9,79.5,83,73.6,78.6,76.6,78.6,78.6,81.1,74.2,73.1
"国語7",53.1,47.8,71.7,68.1,48,69.5,57.8,60.7,51.9,52.7,59.1,50,51.7,55.3,49.4,63.3,66.6,71.1,63.9,52.1,57.8,43.9,63.3,46.3,51.5,48.9,60.5,46.7,50.6,54.5,54.6,54.1,51.4,51.1,60.9,51.8,55.3,48.3,49.3,65.8,52.4,52.9,49.3,53.4,59.7,59.1,40.2,56.3
"国語8",71.7,68.5,78.5,74.6,68.2,75.5,70.6,72.5,71,70.4,72.4,69.6,73.3,74.9,71.7,76,73.8,74.6,77.1,71.3,72.5,66.5,73.3,67.6,68.3,68.3,74.1,68.1,71.1,71.8,72.2,71.8,71.1,70.5,76.5,74.3,72.4,75.5,71.6,76,72.7,73.6,72.4,74.2,72.8,76.7,71.1,71.9
"国語9",53,47.4,52.1,55.4,49.2,60.3,44.1,44.9,53.3,47.1,49.8,52.6,52.8,57.4,55,47.4,56,58.7,54,54,55.3,57.3,55.8,49.9,51.7,50.9,57.3,48.9,54.7,53.1,51.7,53.8,50.6,54.4,58,56,52,56.9,52.5,51.1,56.3,50.9,53.9,52.5,57.1,53.1,50.2,50.3
"国語10",86,84,86.4,85.6,87.1,89.4,83.8,85.1,87.2,86.6,85.2,85.5,86.6,87.7,86.5,85.6,86.5,89.5,87.8,85.5,87.3,85.6,86,83.9,85.9,86.6,86,85.8,86.1,86.4,84.7,88.2,84.8,84.2,88.4,87.3,83.4,86.9,84.3,86.3,85.7,84.8,86.1,85.9,85.6,85.6,83.4,86.5
"国語11",59.5,57.9,62.9,62.1,56.7,68.4,58.1,58.3,60.8,57.5,58.6,58.7,59.7,63.9,60.5,61.2,64.1,64,62.7,60,61.9,59.3,61.8,56.1,57.9,58.3,62.1,55.8,58,58.5,58.9,58.8,54.8,57,63.1,60.5,57.7,59.1,59.5,56.6,59.8,56.7,56.9,58.2,60.2,58.7,60.2,60
"国語12",19.8,22.2,20.5,16.8,16.7,24.5,21.1,17.4,21.2,16.4,19.3,16.6,33,25.4,18.8,25.5,17.3,20.8,21.5,17.5,14.2,16.9,21.5,14.9,15,16.1,21.8,16.9,18.5,17.8,21,18.1,13,15.2,22.1,21.6,16.4,21.8,24.8,21.3,15.5,15,20.2,18.1,17.7,21.2,19.2,22.4
"国語13",67.5,66.1,70.8,69.2,66.7,73.5,64.4,66.5,68.1,65.4,66.3,67,68.5,71.2,67.1,70.4,69.3,71.4,71.4,65.7,68.2,65.6,68.6,66.9,65,66,70,64.5,66.9,67.1,66.4,68.1,65,65.9,70.6,67.9,64.8,68.9,67.1,68.1,67.7,66.2,64.6,66.7,68.4,66.1,65.5,64.6
